url,ville,ville_slug,type
https://www.tourisme-rennes.com,Rennes,rennes,office-tourisme
https://www.castelnaudary-tourisme.com,Castelnaudary,castelnaudary,office-tourisme
https://www.destinationdijon.com,Dijon,dijon,office-tourisme
https://www.toulouse-tourisme.com,Toulouse,toulouse,office-tourisme
https://www.bordeaux-tourisme.com,Bordeaux,bordeaux,office-tourisme
https://www.auvergnerhonealpes-tourisme.com,Lyon,lyon,office-tourisme
https://www.dijon.fr,Dijon,dijon,mairie
https://metropole.rennes.fr,Rennes,rennes,mairie
https://www.verdun.fr,Verdun,verdun,mairie
https://www.mairie-vars.fr,Vars,vars,mairie
https://www.nice.fr,Nice,nice,mairie
https://www.bordeaux.fr,Bordeaux,bordeaux,mairie
https://www.lyon.fr,Lyon,lyon,mairie
https://www.strasbourg.eu,Strasbourg,strasbourg,mairie
https://www.montpellier.fr,Montpellier,montpellier,mairie
https://www.grenoble.fr,Grenoble,grenoble,mairie
https://www.annecy.fr,Annecy,annecy,mairie
https://www.limoges.fr,Limoges,limoges,mairie
https://www.tours.fr,Tours,tours,mairie
https://www.reims.fr,Reims,reims,mairie
https://www.saint-etienne.fr,Saint-Étienne,saint-etienne,mairie
https://www.occitanie.ars.sante.fr,Toulouse,toulouse,ars
https://www.bretagne.ars.sante.fr,Rennes,rennes,ars
https://www.bourgogne-franche-comte.ars.sante.fr,Dijon,dijon,ars
https://www.hauts-de-france.ars.sante.fr,Lille,lille,ars
https://www.normandie.ars.sante.fr,Rouen,rouen,ars
https://www.grand-est.ars.sante.fr,Strasbourg,strasbourg,ars
https://www.nouvelle-aquitaine.ars.sante.fr,Bordeaux,bordeaux,ars
https://www.paca.ars.sante.fr,Marseille,marseille,ars
https://www.auvergne-rhone-alpes.ars.sante.fr,Lyon,lyon,ars
https://www.pays-de-la-loire.ars.sante.fr,Nantes,nantes,ars
https://www.centre-val-de-loire.ars.sante.fr,Tours,tours,ars
https://www.gard.fr,Nîmes,nimes,conseil-departemental
https://www.ille-et-vilaine.fr,Rennes,rennes,conseil-departemental
https://www.cotedor.fr,Dijon,dijon,conseil-departemental
https://www.meuse.fr,Verdun,verdun,conseil-departemental
https://www.savoie.fr,Chambéry,chambery,conseil-departemental
https://www.isere.fr,Grenoble,grenoble,conseil-departemental
https://www.gironde.fr,Bordeaux,bordeaux,conseil-departemental
https://www.pyrenees-atlantiques.fr,Pau,pau,conseil-departemental
https://www.somme.fr,Amiens,amiens,conseil-departemental
https://www.marne.fr,Reims,reims,conseil-departemental
https://www.cantal.fr,Aurillac,aurillac,conseil-departemental
https://www.marseille.fr,Marseille,marseille,mairie
https://www.marseille-tourisme.com,Marseille,marseille,office-tourisme
https://www.lehavretourisme.com,Le Havre,le-havre,office-tourisme
https://www.poitiers.fr,Poitiers,poitiers,mairie
https://www.versailles.fr,Versailles,versailles,mairie
https://www.versailles-tourisme.com,Versailles,versailles,office-tourisme
https://www.toulon.fr,Toulon,toulon,mairie
https://www.toulontourisme.com,Toulon,toulon,office-tourisme
https://www.orleans.fr,Orléans,orleans,mairie
https://www.tourisme-orleans.com,Orléans,orleans,office-tourisme
https://www.lemans.fr,Le Mans,le-mans,mairie
https://www.lemans-tourisme.com,Le Mans,le-mans,office-tourisme
https://www.larochelle.fr,La Rochelle,la-rochelle,mairie
https://www.larochelle-tourisme.com,La Rochelle,la-rochelle,office-tourisme
https://www.mairie-aixenprovence.fr,Aix-en-Provence,aix-en-provence,mairie
https://www.aixenprovencetourisme.com,Aix-en-Provence,aix-en-provence,office-tourisme
https://www.brest.fr,Brest,brest,mairie
https://www.brest-metropole-tourisme.fr,Brest,brest,office-tourisme
https://www.angers.fr,Angers,angers,mairie
https://www.nantes-tourisme.com,Nantes,nantes,office-tourisme
https://www.besancon.fr,Besançon,besancon,mairie
https://www.besancon-tourisme.com,Besançon,besancon,office-tourisme
https://www.caenlamer-tourisme.fr,Caen,caen,office-tourisme
https://www.tourisme-troyes.com,Troyes,troyes,office-tourisme
https://www.niort.fr,Niort,niort,mairie
https://www.bayonne.fr,Bayonne,bayonne,mairie
https://www.bayonne-tourisme.com,Bayonne,bayonne,office-tourisme
https://www.quimper.bzh,Quimper,quimper,mairie
https://www.quimper-tourisme.bzh,Quimper,quimper,office-tourisme
https://www.vichy-destinations.fr,Vichy,vichy,office-tourisme
https://www.charleville-mezieres.fr,Charleville-Mézières,charleville-mezieres,mairie
https://www.dieppe.fr,Dieppe,dieppe,mairie
